[0] numberOfRounds;[1] population_size;[2] numberOfGenerations;[3] crossoverType;[4] crossoverTasksNumPerc;[5] crossoverProbability;[6] mutationType;[7] mutationTasksNumPerc;[8] tasksMutationStartProbability;[9] tasksMutationEndProbability;[10] operatorsMutationStartProbability;[11] operatorsMutationEndProbability;*[12] changeMutationRateType;*[13] changeMutationRateExpBase;[14] drivenMutation;[15] drivenMutationPart;[16] limitBestFitnessRepetionCount;[17] numberOfcyclesAfterDrivenMutation;[18] completenessWeight;[19] TPweight;[20] precisenessWeight;[21] simplicityWeight;[22] precisenessStart;[23] simplicityStart;[24] evolutionEnd;[25] completenessAttemptFactor1;[26] completenessAttemptFactor2;[27] elitismPerc;[28] selectionOp;*[29] selectionTp;*[30] lambdaValue;*[31] HammingThreshold;[32] migrationtime;[33] num_threads;[34] percentageOfBestIndividualsForMigrationPerIsland;[35] percentageOfIndividualsForMigrationPerIsland;[36] log;[37] fitness strategy
5;25;5000;3;0.5;1.0;1;-1;0;0;0;0;1;1.01;0;0;0;0;0.95;0.05;0.2;0.15;0;0;200;10;2;0.25;1;0;0;0;5;4;0.1;0.2;23;0
5;10;5000;3;0.5;1.0;1;-1;0;0;0;0;1;1.01;0;0;0;0;0.95;0.05;0.2;0.15;0;0;200;10;2;0.25;1;0;0;0;5;4;0.1;0.2;23;0
5;20;5000;3;0.5;1.0;1;-1;0;0;0;0;1;1.01;0;0;0;0;0.95;0.05;0.2;0.15;0;0;200;10;2;0.25;1;0;0;0;5;4;0.1;0.2;23;0
5;30;5000;3;0.5;1.0;1;-1;0;0;0;0;1;1.01;0;0;0;0;0.95;0.05;0.2;0.15;0;0;200;10;2;0.25;1;0;0;0;5;4;0.1;0.2;23;0
5;50;5000;3;0.5;1.0;1;-1;0;0;0;0;1;1.01;0;0;0;0;0.95;0.05;0.2;0.15;0;0;200;10;2;0.25;1;0;0;0;5;4;0.1;0.2;23;0
5;100;5000;3;0.5;1.0;1;-1;0;0;0;0;1;1.01;0;0;0;0;0.95;0.05;0.2;0.15;0;0;200;10;2;0.25;1;0;0;0;5;4;0.1;0.2;23;0
5;25;5000;3;-1;1.0;1;-1;0;0;0;0;1;1.01;0;0;0;0;0.95;0.05;0.2;0.15;0;0;200;10;2;0.25;1;0;0;0;5;4;0.1;0.2;23;0
5;25;5000;3;0.1;1.0;1;-1;0;0;0;0;1;1.01;0;0;0;0;0.95;0.05;0.2;0.15;0;0;200;10;2;0.25;1;0;0;0;5;4;0.1;0.2;23;0
5;25;5000;3;0.2;1.0;1;-1;0;0;0;0;1;1.01;0;0;0;0;0.95;0.05;0.2;0.15;0;0;200;10;2;0.25;1;0;0;0;5;4;0.1;0.2;23;0
5;25;5000;3;0.3;1.0;1;-1;0;0;0;0;1;1.01;0;0;0;0;0.95;0.05;0.2;0.15;0;0;200;10;2;0.25;1;0;0;0;5;4;0.1;0.2;23;0
5;25;5000;3;0.4;1.0;1;-1;0;0;0;0;1;1.01;0;0;0;0;0.95;0.05;0.2;0.15;0;0;200;10;2;0.25;1;0;0;0;5;4;0.1;0.2;23;0
5;25;5000;3;0.6;1.0;1;-1;0;0;0;0;1;1.01;0;0;0;0;0.95;0.05;0.2;0.15;0;0;200;10;2;0.25;1;0;0;0;5;4;0.1;0.2;23;0
5;25;5000;3;0.7;1.0;1;-1;0;0;0;0;1;1.01;0;0;0;0;0.95;0.05;0.2;0.15;0;0;200;10;2;0.25;1;0;0;0;5;4;0.1;0.2;23;0
5;25;5000;3;0.8;1.0;1;-1;0;0;0;0;1;1.01;0;0;0;0;0.95;0.05;0.2;0.15;0;0;200;10;2;0.25;1;0;0;0;5;4;0.1;0.2;23;0
5;25;5000;3;0.9;1.0;1;-1;0;0;0;0;1;1.01;0;0;0;0;0.95;0.05;0.2;0.15;0;0;200;10;2;0.25;1;0;0;0;5;4;0.1;0.2;23;0
5;25;5000;3;1.0;1.0;1;-1;0;0;0;0;1;1.01;0;0;0;0;0.95;0.05;0.2;0.15;0;0;200;10;2;0.25;1;0;0;0;5;4;0.1;0.2;23;0
5;25;5000;0;0;1.0;1;-1;0;0;0;0;1;1.01;0;0;0;0;0.95;0.05;0.2;0.15;0;0;200;10;2;0.25;1;0;0;0;5;4;0.1;0.2;23;0
5;25;5000;1;0;1.0;1;-1;0;0;0;0;1;1.01;0;0;0;0;0.95;0.05;0.2;0.15;0;0;200;10;2;0.25;1;0;0;0;5;4;0.1;0.2;23;0
5;25;5000;2;0;1.0;1;-1;0;0;0;0;1;1.01;0;0;0;0;0.95;0.05;0.2;0.15;0;0;200;10;2;0.25;1;0;0;0;5;4;0.1;0.2;23;0
5;25;5000;4;-1;1.0;1;-1;0;0;0;0;1;1.01;0;0;0;0;0.95;0.05;0.2;0.15;0;0;200;10;2;0.25;1;0;0;0;5;4;0.1;0.2;23;0
5;25;5000;4;0.1;1.0;1;-1;0;0;0;0;1;1.01;0;0;0;0;0.95;0.05;0.2;0.15;0;0;200;10;2;0.25;1;0;0;0;5;4;0.1;0.2;23;0
5;25;5000;4;0.2;1.0;1;-1;0;0;0;0;1;1.01;0;0;0;0;0.95;0.05;0.2;0.15;0;0;200;10;2;0.25;1;0;0;0;5;4;0.1;0.2;23;0
5;25;5000;4;0.3;1.0;1;-1;0;0;0;0;1;1.01;0;0;0;0;0.95;0.05;0.2;0.15;0;0;200;10;2;0.25;1;0;0;0;5;4;0.1;0.2;23;0
5;25;5000;4;0.4;1.0;1;-1;0;0;0;0;1;1.01;0;0;0;0;0.95;0.05;0.2;0.15;0;0;200;10;2;0.25;1;0;0;0;5;4;0.1;0.2;23;0
5;25;5000;4;0.5;1.0;1;-1;0;0;0;0;1;1.01;0;0;0;0;0.95;0.05;0.2;0.15;0;0;200;10;2;0.25;1;0;0;0;5;4;0.1;0.2;23;0
5;25;5000;4;0.6;1.0;1;-1;0;0;0;0;1;1.01;0;0;0;0;0.95;0.05;0.2;0.15;0;0;200;10;2;0.25;1;0;0;0;5;4;0.1;0.2;23;0
5;25;5000;4;0.7;1.0;1;-1;0;0;0;0;1;1.01;0;0;0;0;0.95;0.05;0.2;0.15;0;0;200;10;2;0.25;1;0;0;0;5;4;0.1;0.2;23;0
5;25;5000;4;0.8;1.0;1;-1;0;0;0;0;1;1.01;0;0;0;0;0.95;0.05;0.2;0.15;0;0;200;10;2;0.25;1;0;0;0;5;4;0.1;0.2;23;0
5;25;5000;4;0.9;1.0;1;-1;0;0;0;0;1;1.01;0;0;0;0;0.95;0.05;0.2;0.15;0;0;200;10;2;0.25;1;0;0;0;5;4;0.1;0.2;23;0
5;25;5000;4;1.0;1.0;1;-1;0;0;0;0;1;1.01;0;0;0;0;0.95;0.05;0.2;0.15;0;0;200;10;2;0.25;1;0;0;0;5;4;0.1;0.2;23;0
5;25;5000;3;0.5;1.0;1;0.1;0;0;0;0;1;1.01;0;0;0;0;0.95;0.05;0.2;0.15;0;0;200;10;2;0.25;1;0;0;0;5;4;0.1;0.2;23;0
5;25;5000;3;0.5;1.0;1;0.2;0;0;0;0;1;1.01;0;0;0;0;0.95;0.05;0.2;0.15;0;0;200;10;2;0.25;1;0;0;0;5;4;0.1;0.2;23;0
5;25;5000;3;0.5;1.0;1;0.3;0;0;0;0;1;1.01;0;0;0;0;0.95;0.05;0.2;0.15;0;0;200;10;2;0.25;1;0;0;0;5;4;0.1;0.2;23;0
5;25;5000;3;0.5;1.0;1;0.4;0;0;0;0;1;1.01;0;0;0;0;0.95;0.05;0.2;0.15;0;0;200;10;2;0.25;1;0;0;0;5;4;0.1;0.2;23;0
5;25;5000;3;0.5;1.0;1;0.5;0;0;0;0;1;1.01;0;0;0;0;0.95;0.05;0.2;0.15;0;0;200;10;2;0.25;1;0;0;0;5;4;0.1;0.2;23;0
5;25;5000;3;0.5;1.0;1;0.6;0;0;0;0;1;1.01;0;0;0;0;0.95;0.05;0.2;0.15;0;0;200;10;2;0.25;1;0;0;0;5;4;0.1;0.2;23;0
5;25;5000;3;0.5;1.0;1;0.7;0;0;0;0;1;1.01;0;0;0;0;0.95;0.05;0.2;0.15;0;0;200;10;2;0.25;1;0;0;0;5;4;0.1;0.2;23;0
5;25;5000;3;0.5;1.0;1;0.8;0;0;0;0;1;1.01;0;0;0;0;0.95;0.05;0.2;0.15;0;0;200;10;2;0.25;1;0;0;0;5;4;0.1;0.2;23;0
5;25;5000;3;0.5;1.0;1;0.9;0;0;0;0;1;1.01;0;0;0;0;0.95;0.05;0.2;0.15;0;0;200;10;2;0.25;1;0;0;0;5;4;0.1;0.2;23;0
